Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit
margaux-carpentier-orange-lips-idole,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/11053143_980484451971921_5319088727344774444_n.jpg?v=1437996755,,,,,,,,,,,,,,,,,,,
margaux-carpentier-orange-lips-idole,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/IMG_6645.JPG?v=1438336656,,,,,,,,,,,,,,,,,,,
margaux-carpentier-orange-lips-idole,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/IMG_6646.JPG?v=1438336660,,,,,,,,,,,,,,,,,,,
lynnie-zulu-dairy-queen,'DAIRY QUEEN' by LYNNIE ZULU,"<meta charset=""utf-8"">
<h3 style=""text-align: center;""><span>'DAIRY QUEEN'</span></h3>
<h3 style=""text-align: center;""><span>BY LYNNIE ZULU</span></h3>
<h4 style=""text-align: center;""><span>Hybrid signed print (digital inkjet with 2 colour silkscreen print overlay) created exclusively for ART AGAINST KNIVES and printed by <a href=""http://www.jealousgallery.com/"">Jealous Studios</a>. Limited edition of 25. All proceeds go straight back into the creative programmes delivered by ART AGAINST KNIVES for young people at risk of violent crime in London. </span></h4>
<h4 style=""text-align: center;""><span>SIZE: A2</span></h4>
<meta charset=""utf-8"">
<h4 style=""text-align: center;""><span>Unframed: £150 (+£10 Postage) </span></h4>
<h4 style=""text-align: center;""><span>Framed: £250</span></h4>
<h4 style=""text-align: center;""><span>Original, paint pens on paper, framed: £470</span></h4>
<h6 style=""text-align: center;""><span>*Please note framed pieces may take 2-3 weeks. All works will be ready for collection from Jealous Gallery Shoreditch or Jealous Gallery Crouch End. To arrange for delivery or for any shipping enquiries please contact Louise@jealousgallery.com </span></h6>",Art Against Knives Gallery,Print,"",true,Framed,Unframed,,,,,"",0,shopify,9,deny,manual,160.00,,true,false,"",https://cdn.shopify.com/s/files/1/0190/2782/products/11698582_980484401971926_2174458924665329562_n.jpg?v=1437996515,,false,,,,,,,,,,,,,,,,,oz
lynnie-zulu-dairy-queen,,,,,,,,Framed,,,,,"",0,shopify,4,deny,manual,250.00,,false,true,"",https://cdn.shopify.com/s/files/1/0190/2782/products/11695897_980484398638593_3762335793447041706_n.jpg?v=1437996534,,,,,,,,,,,,,,,,,,,oz
lynnie-zulu-dairy-queen,,,,,,,,"Original, paint pens on paper, framed.",,,,,"",0,shopify,0,deny,manual,380.00,,true,true,"",,,,,,,,,,,,,,,,,,,,oz
lynnie-zulu-dairy-queen,,,,,,,,1st edition- Framed,,,,,"",0,shopify,1,deny,manual,350.00,,true,true,,,,,,,,,,,,,,,,,,,,,oz
jess-wilson-denim-jacket,'DENIM JACKET' by JESS WILSON,"<meta charset=""utf-8"">
<h3 style=""text-align: center;"">'DENIM JACKET'</h3>
<h3 style=""text-align: center;"">BY <a href=""http://www.jesswilson.co.uk/"">JESS WILSON</a>
</h3>
<h4 style=""text-align: center;"">
<span>Hybrid signed print </span>(digital inkjet with  created exclusively for ART AGAINST KNIVES and printed by <a href=""http://www.jealousgallery.com/"">Jealous Studios</a>. Limited edition of 25. All proceeds go straight back into the creative programmes delivered by ART AGAINST KNIVES for young people at risk of violent crime in London. </h4>
<h4 style=""text-align: center;""><span>SIZE: A2</span></h4>
<meta charset=""utf-8"">
<h4 style=""text-align: center;""><span>Unframed: £150 (+£10 Postage) </span></h4>
<h4 style=""text-align: center;""><span style=""line-height: 1.4;"">Framed: £250</span></h4>
<h6 style=""text-align: center;""><span>*Please note framed pieces may take 2-3 weeks. All works will be ready for collection from Jealous Gallery Shoreditch or Jealous Gallery Crouch End. To arrange for delivery or for any shipping enquiries please contact Louise@jealousgallery.com </span></h6>",Art Against Knives Gallery,Print,"",true,Framed,Unframed,,,,,"",0,shopify,10,deny,manual,160.00,,true,false,"",https://cdn.shopify.com/s/files/1/0190/2782/products/jess_wilson.jpg?v=1437996377,,false,,,,,,,,,,,,,,,,,oz
jess-wilson-denim-jacket,,,,,,,,Framed,,,,,"",0,shopify,9,deny,manual,250.00,,false,true,"",https://cdn.shopify.com/s/files/1/0190/2782/products/FullSizeRender_1.jpg?v=1438336921,,,,,,,,,,,,,,,,,,,oz
jess-wilson-denim-jacket,,,,,,,,1st edition framed,,,,,"",0,shopify,1,deny,manual,350.00,,true,true,,,,,,,,,,,,,,,,,,,,,oz
copy-of-camille-walala-long-life-in-the-sunshine,'HARD AT WORK' by HATTIE STEWART,"<meta charset=""utf-8"">
<h3 style=""text-align: center;"">'HARD AT WORK'</h3>
<h3 style=""text-align: center;"">BY <a href=""http://hattiestewart.com/"">HATTIE STEWART</a> </h3>
<meta charset=""utf-8"">
<h4 style=""text-align: center;""><span>Hybrid signed print (digital inkjet with 2 colour silkscreen print overlay) created exclusively for ART AGAINST KNIVES and printed by <a href=""http://www.jealousgallery.com/"">Jealous Studios</a>. Limited edition of 25. All proceeds go straight back into the creative programmes delivered by ART AGAINST KNIVES for young people at risk of violent crime in London. </span></h4>
<h4 style=""text-align: center;""><span>SIZE: A2</span></h4>
<h4 style=""text-align: center;""><span>Unframed: £150 (+£10 Postage) </span></h4>
<h4 style=""text-align: center;""><span>Framed: £250</span></h4>
<h6 style=""text-align: center;""><span>*Please note framed pieces may take 2-3 weeks. All works will be ready for collection from Jealous Gallery Shoreditch or Jealous Gallery Crouch End. To arrange for delivery or for any shipping enquiries please contact Louise@jealousgallery.com </span></h6>",Art Against Knives Gallery,Print,"",true,Framed,Unframed,,,,,"",0,shopify,9,deny,manual,160.00,,true,false,"",https://cdn.shopify.com/s/files/1/0190/2782/products/IMG_1731.jpg?v=1437996166,,false,,,,,,,,,,,,,,,,,oz
copy-of-camille-walala-long-life-in-the-sunshine,,,,,,,,Framed,,,,,"",0,shopify,6,deny,manual,250.00,,false,true,"",https://cdn.shopify.com/s/files/1/0190/2782/products/hard_at_work.jpg?v=1437996175,,,,,,,,,,,,,,,,,,,oz
copy-of-camille-walala-long-life-in-the-sunshine,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/IMG_6649.JPG?v=1438336694,,,,,,,,,,,,,,,,,,,
camille-walala-long-life-in-the-sunshine,'LONG LIFE IN THE SUNSHINE' by CAMILLE WALALA,"<meta charset=""utf-8"">
<h3 style=""text-align: center;"">'LONG LIFE IN THE SUNSHINE'</h3>
<h3 style=""text-align: center;""><span>BY <a href=""http://camillewalala.com/"">CAMILLE WALALA</a></span></h3>
<meta charset=""utf-8"">
<h4 style=""text-align: center;""><span>Hybrid signed print (digital inkjet with 2 colour silkscreen print overlay) created exclusively for ART AGAINST KNIVES and printed by <a href=""http://www.jealousgallery.com/"">Jealous Studios</a>. Limited edition of 25. All proceeds go straight back into the creative programmes delivered by ART AGAINST KNIVES for young people at risk of violent crime in London. </span></h4>
<h4 style=""text-align: center;""><span>SIZE: A2</span></h4>
<meta charset=""utf-8"">
<h4 style=""text-align: center;""><span>Unframed: £150 (+£10 Postage) </span></h4>
<h4 style=""text-align: center;""><span>Framed: £250</span></h4>
<h6 style=""text-align: center;""><span>*Please note framed pieces may take 2-3 weeks. All works will be ready for collection from Jealous Gallery Shoreditch or Jealous Gallery Crouch End. To arrange for delivery or for any shipping enquiries please contact Louise@jealousgallery.com </span></h6>",Art Against Knives Gallery,Print,"",true,Framed,Unframed,,,,,"",0,shopify,9,deny,manual,160.00,,true,false,"",https://cdn.shopify.com/s/files/1/0190/2782/products/CAMILLE_WALALA.jpg?v=1437995833,,false,,,,,,,,,,,,,,,,,oz
camille-walala-long-life-in-the-sunshine,,,,,,,,Framed,,,,,"",0,shopify,7,deny,manual,250.00,,false,true,"",https://cdn.shopify.com/s/files/1/0190/2782/products/11745737_980484491971917_2883857599399016283_n.jpg?v=1437995840,,,,,,,,,,,,,,,,,,,oz
camille-walala-long-life-in-the-sunshine,,,,,,,,1st edition framed,,,,,"",0,shopify,1,deny,manual,350.00,,true,true,,https://cdn.shopify.com/s/files/1/0190/2782/products/IMG_6656.JPG?v=1438336727,,,,,,,,,,,,,,,,,,,oz
camille-walala-long-life-in-the-sunshine,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/FullSizeRender_57eeb336-6e66-4e9c-b833-e32a510b1c36.jpg?v=1438336894,,,,,,,,,,,,,,,,,,,
archie-proudfoot-her,'HER' by ARCHIE PROUDFOOT,"<h3 style=""text-align: center;"">'HER'</h3>
<h3 style=""text-align: center;""><span>BY <a href=""http://www.archieproudfoot.com/"">ARCHIE PROUDFOOT</a></span></h3>
<h4 style=""text-align: center;"">
<span>Hybrid signed print </span>(digital inkjet with varnish overlay) created exclusively for ART AGAINST KNIVES and printed by <a href=""http://www.jealousgallery.com/"">Jealous Studios</a>. Limited edition of 25. All proceeds go straight back into the creative programmes delivered by ART AGAINST KNIVES for young people at risk of violent crime in London. </h4>
<h4 style=""text-align: center;""><span>SIZE: A2</span></h4>
<meta charset=""utf-8"">
<h4 style=""text-align: center;""><span>Unframed: £150 (+£10 Postage) </span></h4>
<h4 style=""text-align: center;""><span>Framed: £250</span></h4>
<h4 style=""text-align: center;""><span>Original: Reverse-glass gilding. 23 Carat gold leaf, silver leaf, glass and enamels. 80cm x 30cm - Framed: £750</span></h4>
<h6 style=""text-align: center;""><span>*Please note framed pieces may take 2-3 weeks. All works will be ready for collection from Jealous Gallery Shoreditch or Jealous Gallery Crouch End. To arrange for delivery or for any shipping enquiries please contact Louise@jealousgallery.com </span></h6>",Art Against Knives Gallery,Print,"",true,Framed,Unframed,,,,,"",0,shopify,10,deny,manual,160.00,,true,false,"",https://cdn.shopify.com/s/files/1/0190/2782/products/HER_-_ARCHIE_PROUDFOOT_1.jpg?v=1437995366,,false,,,,,,,,,,,,,,,,,oz
archie-proudfoot-her,,,,,,,,Framed,,,,,"",0,shopify,5,deny,manual,250.00,,false,true,"",https://cdn.shopify.com/s/files/1/0190/2782/products/11227504_980484428638590_3097456938628589982_n.jpg?v=1437995373,,,,,,,,,,,,,,,,,,,oz
archie-proudfoot-her,,,,,,,,"Original, reverse-glass gilding. 23 Carey gold leaf, silver leaf, glass and enamels.",,,,,"",0,shopify,1,deny,manual,750.00,,true,true,"",https://cdn.shopify.com/s/files/1/0190/2782/products/11760229_980484415305258_1726427041415141313_n.jpg?v=1437995380,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/IMG_3731_2.JPG?v=1438078423,oz
archie-proudfoot-her,,,,,,,,1st edition framed,,,,,"",0,shopify,1,deny,manual,350.00,,true,true,,https://cdn.shopify.com/s/files/1/0190/2782/products/IMG_3731_2.JPG?v=1438078423,,,,,,,,,,,,,,,,,,,oz
archie-proudfoot-her,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/FullSizeRender.jpg?v=1438336538,,,,,,,,,,,,,,,,,,,
archie-proudfoot-her,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/IMG_6647.JPG?v=1438336552,,,,,,,,,,,,,,,,,,,
annu-kilpelainen-three-great-men,'THREE GREAT MEN' by ANNU KILPELAINEN,"<meta charset=""utf-8"">
<h3 style=""text-align: center;"">'THREE GREAT MEN'</h3>
<h3 style=""text-align: center;""><span>BY <a href=""http://www.annukil.com/"">ANNU KILPELAINEN</a></span></h3>
<h4 style=""text-align: center;""><span>Hybrid signed print (digital inkjet with 2 colour silkscreen print overlay) created exclusively for ART AGAINST KNIVES and printed by <a href=""http://www.jealousgallery.com/"">Jealous Studios</a>. Limited edition of 25. All proceeds go straight back into the creative programmes delivered by ART AGAINST KNIVES for young people at risk of violent crime in London. </span></h4>
<h4 style=""text-align: center;""><span>SIZE: A2</span></h4>
<meta charset=""utf-8"">
<h4 style=""text-align: center;""><span>Unframed: £150 (+£10 Postage) </span></h4>
<h4 style=""text-align: center;""><span>Framed: £250</span></h4>
<h4 style=""text-align: center;""><span>Original (Acrylic Painting) : £470</span></h4>
<h6 style=""text-align: center;""><span>*Please note framed pieces may take 2-3 weeks. All works will be ready for collection from Jealous Gallery Shoreditch or Jealous Gallery Crouch End. To arrange for delivery or for any shipping enquiries please contact Louise@jealousgallery.com </span></h6>",Art Against Knives Gallery,Print,"",true,Framed,Unframed,,,,,"",0,shopify,10,deny,manual,160.00,,true,false,"",https://cdn.shopify.com/s/files/1/0190/2782/products/Annu_Kilpelainen.jpg?v=1437994256,,false,,,,,,,,,,,,,,,,,oz
annu-kilpelainen-three-great-men,,,,,,,,Framed,,,,,"",0,shopify,8,deny,manual,250.00,,false,true,"",https://cdn.shopify.com/s/files/1/0190/2782/products/11173348_980484395305260_1745032965324263375_n.jpg?v=1437994282,,,,,,,,,,,,,,,,,,,oz
annu-kilpelainen-three-great-men,,,,,,,,"Original, acrylic on paper, framed.",,,,,"",0,shopify,1,deny,manual,350.00,,true,true,"",https://cdn.shopify.com/s/files/1/0190/2782/products/11745574_980484411971925_1233636622531178768_n.jpg?v=1437994288,,,,,,,,,,,,,,,,,,,oz
alec-doherty-big-cheif,'BIG CHEIF' by ALEC DOHERTY,"<h3 style=""text-align: center;""><span style=""color: #666666;"">'BIG CHIEF' </span></h3>
<h3 style=""text-align: center;""><span style=""color: #666666;"">BY <a href=""http://www.alecdoherty.com/"" target=""_blank"">ALEC DOHERTY </a></span></h3>
<h4 style=""text-align: center;""><span style=""color: #666666;"">Hybrid signed print (digital inkjet with 2 colour silkscreen print overlay) created exclusively for ART AGAINST KNIVES and printed by <a href=""http://www.jealousgallery.com/"" style=""color: #666666;"">Jealous Studios</a>. Limited edition of 25. All proceeds go straight back into the creative programmes delivered by ART AGAINST KNIVES for young people at risk of violent crime in London. </span></h4>
<h4 style=""text-align: center;""><span style=""color: #666666;"">SIZE: A2</span></h4>
<meta charset=""utf-8"">
<h4 style=""text-align: center;""><span style=""color: #444444;"">Unframed: £150 (+£10 Postage) </span></h4>
<h4 style=""text-align: center;""><span style=""color: #666666;"">Framed: £250</span></h4>
<h6 style=""text-align: center;""><span style=""color: #666666;"">*Please note framed pieces may take 2-3 weeks. All works will be ready for collection from Jealous Gallery Shoreditch or Jealous Gallery Crouch End. To arrange for delivery or for any shipping enquiries please contact Louise@jealousgallery.com </span></h6>",Art Against Knives Gallery,Print,"",true,Framed,Unframed,,,,,"",0,shopify,10,deny,manual,160.00,,false,false,"",https://cdn.shopify.com/s/files/1/0190/2782/products/Alec_Doherty.jpg?v=1438183079,,false,,,,,,,,,,,,,,,,,oz
alec-doherty-big-cheif,,,,,,,,Framed,,,,,"",0,shopify,6,deny,manual,250.00,,false,true,"",https://cdn.shopify.com/s/files/1/0190/2782/products/IMG_1732.jpg?v=1438183097,,,,,,,,,,,,,,,,,,,oz
rebelution-t-shirt-size-extra-large,REBELUTION T-SHIRT (Size: Extra Large),"<h4>Limited edition REBELUTION T-Shirt, screen-printed by hand: </h4>
<p>The physical release of REBELUTION's first EP is by t-shirt, exclusively designed and hand-printed by the collective of young artists. All 100 tees were hand-printed by young designer Richy Sayers, in collaboration with S.O.O.N clothing at the Art In Transit studio. Wear the artwork, join the family, spread the word!</p>
<p>&lt;&lt; Only 100 made, on sale at Art Against Knives, get in quick! &gt;&gt;</p>
<ul>
<li>Screen-printed by hand, 100% cotton</li>
<li>Limited edition of 100 only.</li>
<li>Every purchase comes with the full EP to download.</li>
</ul>
<p>The decision to release the REBELUTION EP by tee was a natural one for the collective, following in footsteps including Prince, Mos Def and On Montreal and inspired by friends at indie label Polka Dot.</p>
<p>CDs and vinyl live on shelves and sit still, but the REBELUTION message is made to be free - roaming the streets of London and beyond. The group wanted give friends and fans something beautiful and useful, whilst giving the brand legs.</p>
<p>REBELUTION is a fresh young collective from London with a unique sound: led by hip-hop, shaped by grime, trap, RnB,acoustic, pop, rock and whatever else moves them.</p>
The collective was formed during the On_TRACK music programme we run in Barnet, North London where 15 young people they threw hearts and talents into creating their first EP with the support of creative professionals and Role Models. All proceeds from sales go directly back into ART AGAINST KNIVES Charity to fund studio time for the collective.",Art Against Knives Gallery,T-Shirt,"silk screen print, T-shirt",true,Title,Default Title,,,,,"",500,shopify,14,deny,manual,15.00,,true,false,"",https://cdn.shopify.com/s/files/1/0190/2782/products/REBELUTIONtee600x450_94430566-a362-49e6-95fa-9d2f01f027b9.jpg?v=1431534179,,false,,,,,,,,,,,,,,,,,kg
rebelution-t-shirt-size-extra-large,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/REBELUTIONFAM1STGIG_53a35ccc-4e96-4a70-a019-65e90ea37fd3.png?v=1431534179,,,,,,,,,,,,,,,,,,,
rebelution-t-shirt-size-extra-large,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/11026130_850113145059749_8617193664672839970_n_579be10d-e342-415e-b0a0-400667628b3b.jpg?v=1431534179,,,,,,,,,,,,,,,,,,,
rebelution-t-shirt-size-extra-large,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/richy_8b74288b-aed8-4928-80e1-fa8773273e28.jpg?v=1431534179,,,,,,,,,,,,,,,,,,,
rebelution-t-shirt-size-extra-large,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/GABESTUDIO800_bd418e2b-f0dd-494c-884a-acf3f343f1f4.png?v=1431534179,,,,,,,,,,,,,,,,,,,
